"","unodes","Division","Divisionc","Building","Buildingc","Dept","Deptc","Status","Statusc","Fulltime","Supervisor","Gender","Genderc","Race","Racec","Ageyrs","Tenureyrs","Education","Institution","GradYr","EIperc","EIfac","EIund","EImgt","EItotal","ito","jobsat","occ","oca","oc","wkinclu","flextimeh","pos","procjust","pied","satreward","satpay","satbenefit","satall","distjust","satsuper","satsocreward","sreffort","jobsearch","trustsuper","trustcowker","interperjust","srocbi","srocbo","srocb","wkfamconflict","wkfamconflictMC","famwkconflict","wkfamwkconflict","panaspos","panasneg","panascomb","agreeabl","conscient","ocbi","ocbo","ocb","efforts","absenses","knowledgeproc","knowledgejob","knowledge","performance","overallperformance","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108"
"61",194,"LEXINGTON",2,"NANDINO",7,"""Sales Ethical""",44,"ACTIVE",1,1,1,"FEMALE",0,"White",1,36,3.41666666666667,4,"""The Art Institute of Pittsburgh""",1992,99.756681382462,103.245536609687,70.5694191556886,111.207948167209,98.1134476515621,3,4,2.625,3.7,3.1625,3.85714285714286,4,3.83333333333333,2.75,3.33333333333333,4,3.2,3.5,3.56666666666667,3,4,4.33,5,1.625,4,3.6,3.4,4.5,4,4.25,2,-0.823,2,2,4.25,2.41666666666667,3.33333333333333,4.3,4.6,3.75,3,3.38,4,2,3,4,3.5,3,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",196,"LEXINGTON",2,"NANDINO",7,"""AS Dist Direct""",38,"ACTIVE",1,1,0,"FEMALE",0,"White",1,30,1.91666666666667,2,"""na""",NA,106.199044044982,85.4493786197696,72.4970361466611,111.207948167209,92.9859874739941,2.67,4,3.125,3,3.0625,3.85714285714286,4,3.66666666666667,4.25,3.33333333333333,4,4,3.5,3.83333333333333,4,4,3.33,5,1.125,4.4,3,4.8,2.75,2.5,2.625,1,-1.823,1,1,3.3,2.91666666666667,3.10833333333333,3.4,4.3,2,2.5,2.25,2,3,4,1,2.5,1,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",197,"LEXINGTON",2,"CREATIVEDR",8,"""Diag Direct Labor """,12,"ACTIVE",1,1,0,"MALE",1,"White",1,50,1,2,"""na""",NA,111.248463429119,98.1178300702189,114.663657824183,110.249572761372,112.863675559635,5,1,1.75,1.1,1.425,2.28571428571429,1,1,1,1,0,1.4,2,1.13333333333333,1,1.25,3,3,4.5,1.4,4.6,1.4,3.75,2.25,3,3.25,0.427,1.2,2.225,2.16666666666667,2.5,2.33333333333333,4.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",200,"LEXINGTON",2,"NANDINO",7,"""Sales & Marketing """,29,"ACTIVE",1,1,0,"MALE",1,"White",1,29,6.41666666666667,4,"""na""",NA,92.9660829003468,98.7210896630975,114.663657824183,111.207948167209,106.12071423023,5,1,1.5,1,1.25,1.42857142857143,1,1,1,1,1,1,1.5,1.16666666666667,1,1.25,1,2,4.625,1.8,2.2,1.6,1.5,1.25,1.375,3.5,0.677,3,3.25,2.83333333333333,2.58333333333333,2.70833333333333,2.2,2.8,3.5,3.5,3.5,2,2,4,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",208,"LEXINGTON",2,"CREATIVEDR",8,"""Diag Direct Labor """,12,"ACTIVE",1,1,0,"MALE",1,"Black",2,40,0.666666666666667,1,"""Bluegrass Community and Technical College""",2007,91.9213754415598,86.2034531108678,114.663657824183,59.4556762520121,80.9048484254775,2.67,3.33,2.625,2.7,2.6625,2.71428571428571,2,2.16666666666667,3.5,2.66666666666667,5,2.2,2,3.06666666666667,3,3.75,4,4,2.75,3.2,3.6,3.6,3,3.5,3.25,3,0.177,3.2,3.1,3,2.25,2.625,3.2,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",209,"LEXINGTON",2,"NANDINO",7,"""Sales Ideal OTC""",46,"ACTIVE",1,1,1,"MALE",1,"White",1,30,2.33333333333333,5,"""Purdue University""",2001,80.2554754851054,100.681683339953,76.1113180047344,110.249572761372,90.3168986144381,2.33,4,1.875,2.5,2.1875,3.42857142857143,4,3.16666666666667,2.75,2,3,3.2,3,3.06666666666667,2,4.25,4,4.5,1.5,4.4,3.6,4.6,4,3.5,3.75,4,1.177,2.2,3.1,3.66666666666667,2.91666666666667,3.29166666666667,4.1,4.2,3.25,2.25,2.75,3,2,3,4,3.5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",211,"LEXINGTON",2,"NANDINO",7,"""Sales Ideal OTC""",46,"ACTIVE",1,1,1,"MALE",1,"White",1,33,3.41666666666667,5,"""Morehead State University""",1996,111.248463429119,88.0132318895034,114.663657824183,111.207948167209,108.508846367728,4,2.67,2.375,1.9,2.1375,2.85714285714286,1,2.16666666666667,1.75,1.33333333333333,1,2.2,2,1.73333333333333,2,2.5,4,4.75,1.75,1.8,2.8,2.2,4.5,4,4.25,4.25,1.427,1.6,2.925,3.58333333333333,2.75,3.16666666666667,4.3,4.1,4.75,4.75,4.75,5,1,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
