"","ego","alter","weight","relation"
"82",23,58,1,"Course"
"83",24,4,1,"Course"
"84",24,9,2,"Course"
"85",24,64,3,"Course"
"86",24,66,2,"Course"
"87",25,6,2,"Course"
"88",25,10,3,"Course"
"89",25,16,3,"Course"
"90",25,52,3,"Course"
"91",25,70,2,"Course"
"92",26,6,2,"Course"
"93",26,22,2,"Course"
"94",26,53,1,"Course"
"95",26,69,2,"Course"
"96",27,12,3,"Course"
"97",27,14,1,"Course"
"98",27,26,1,"Course"
"99",27,59,2,"Course"
"100",28,4,2,"Course"
"101",28,64,3,"Course"
"102",29,14,2,"Course"
"103",30,41,1,"Course"
"104",31,7,1,"Course"
"105",31,8,1,"Course"
"106",31,65,1,"Course"
"107",32,8,1,"Course"
"108",32,13,1,"Course"
"109",32,24,2,"Course"
"110",32,44,3,"Course"
"111",33,11,1,"Course"
"112",33,63,3,"Course"
"113",33,70,3,"Course"
"114",34,5,1,"Course"
"115",34,7,1,"Course"
"116",34,65,1,"Course"
"117",35,13,2,"Course"
"118",35,37,2,"Course"
"119",35,63,1,"Course"
"120",36,4,1,"Course"
"121",36,12,2,"Course"
"122",36,16,2,"Course"
"123",36,27,2,"Course"
"124",36,41,1,"Course"
"125",36,69,3,"Course"
"126",37,2,3,"Course"
"127",37,4,1,"Course"
"128",37,10,3,"Course"
"129",37,35,2,"Course"
"130",37,41,1,"Course"
"131",38,20,1,"Course"
"132",38,22,2,"Course"
"133",38,48,2,"Course"
"134",38,55,2,"Course"
"135",39,8,1,"Course"
"136",39,17,2,"Course"
"137",39,34,1,"Course"
"138",39,61,3,"Course"
"139",39,63,3,"Course"
"140",40,13,1,"Course"
"141",40,47,2,"Course"
"142",40,53,1,"Course"
"143",40,54,2,"Course"
"144",40,67,3,"Course"
"145",41,10,2,"Course"
"146",41,35,1,"Course"
"147",42,15,2,"Course"
"148",43,46,2,"Course"
"149",43,64,2,"Course"
"150",43,66,2,"Course"
"151",44,3,3,"Course"
"152",44,57,2,"Course"
"153",44,68,2,"Course"
"154",45,58,2,"Course"
"155",46,4,2,"Course"
"156",46,43,2,"Course"
"157",46,64,2,"Course"
"158",47,40,2,"Course"
"159",47,67,3,"Course"
"160",48,54,3,"Course"
"161",49,10,2,"Course"
"162",49,35,1,"Course"
"163",50,62,3,"Course"
"164",50,70,2,"Course"
"165",51,6,2,"Course"
"166",51,15,3,"Course"
"167",51,25,1,"Course"
"168",51,48,3,"Course"
"169",51,50,3,"Course"
"170",51,62,1,"Course"
"171",51,64,3,"Course"
"172",52,10,3,"Course"
"173",52,16,3,"Course"
"174",53,67,2,"Course"
"175",53,69,2,"Course"
"176",54,40,1,"Course"
"177",54,57,2,"Course"
"178",55,20,2,"Course"
"179",56,59,3,"Course"
"180",57,44,2,"Course"
"181",57,60,3,"Course"
"182",58,45,2,"Course"
"183",59,56,3,"Course"
"184",59,65,1,"Course"
"185",59,70,2,"Course"
"186",60,5,1,"Course"
"187",60,13,2,"Course"
"188",60,24,2,"Course"
"189",60,53,1,"Course"
"190",60,54,2,"Course"
"191",60,57,3,"Course"
"192",62,15,2,"Course"
"193",63,33,2,"Course"
"194",63,70,3,"Course"
"195",64,28,1,"Course"
"196",64,46,1,"Course"
"197",64,66,3,"Course"
"198",65,5,1,"Course"
"199",65,7,1,"Course"
"200",66,59,3,"Course"
"201",66,64,3,"Course"
"202",66,65,1,"Course"
"203",67,24,2,"Course"
"204",67,40,1,"Course"
"205",67,47,2,"Course"
"206",67,54,2,"Course"
"207",68,59,3,"Course"
"208",68,63,3,"Course"
"209",69,2,3,"Course"
"210",69,10,2,"Course"
"211",70,6,2,"Course"
"212",70,25,2,"Course"
"213",70,33,2,"Course"
"214",70,59,3,"Course"
"215",70,63,3,"Course"
